complex_id,complex_name,venues
sr:complex:705,Nacional,"[{'id': 'sr:venue:70045', 'name': 'Cancha Central', 'city_name': 'Santiago', 'country_name': 'Chile', 'country_code': 'CHL', 'timezone': 'America/Santiago'}]"
sr:complex:1078,Estadio de la Cartuja,"[{'id': 'sr:venue:74856', 'name': 'Centre Court', 'city_name': 'Seville', 'country_name': 'Spain', 'country_code': 'ESP', 'timezone': 'Europe/Madrid'}, {'id': 'sr:venue:74858', 'name': 'Court One', 'city_name': 'Seville', 'country_name': 'Spain', 'country_code': 'ESP', 'timezone': 'Europe/Madrid'}]"
sr:complex:1495,Sibur Arena,"[{'id': 'sr:venue:1496', 'name': 'COURT 1', 'city_name': 'Saint Petersburg', 'country_name': 'Russia', 'country_code': 'RUS', 'timezone': 'Europe/Moscow'}, {'id': 'sr:venue:1500', 'name': 'CENTER COURT', 'city_name': 'Saint Petersburg', 'country_name': 'Russia', 'country_code': 'RUS', 'timezone': 'Europe/Moscow'}, {'id': 'sr:venue:62149', 'name': 'Sibur Arena', 'city_name': 'Saint Petersburg', 'country_name': 'Russia', 'country_code': 'RUS', 'timezone': 'Europe/Moscow'}, {'id': 'sr:venue:62153', 'name': 'TC Dynamo', 'city_name': 'Saint Petersburg', 'country_name': 'Russia', 'country_code': 'RUS', 'timezone': 'Europe/Moscow'}]"
sr:complex:2375,Complexo de Tenis do Jamor,"[{'id': 'sr:venue:57912', 'name': 'Central', 'city_name': 'Oeiras', 'country_name': 'Portugal', 'country_code': 'PRT', 'timezone': 'Europe/Lisbon'}, {'id': 'sr:venue:70805', 'name': 'Campo 3', 'city_name': 'Oeiras', 'country_name': 'Portugal', 'country_code': 'PRT', 'timezone': 'Europe/Lisbon'}, {'id': 'sr:venue:70807', 'name': 'Campo 4', 'city_name': 'Oeiras', 'country_name': 'Portugal', 'country_code': 'PRT', 'timezone': 'Europe/Lisbon'}, {'id': 'sr:venue:77423', 'name': 'Campo 1', 'city_name': 'Oeiras', 'country_name': 'Portugal', 'country_code': 'PRT', 'timezone': 'Europe/Lisbon'}, {'id': 'sr:venue:77437', 'name': 'Campo 8', 'city_name': 'Oeiras', 'country_name': 'Portugal', 'country_code': 'PRT', 'timezone': 'Europe/Lisbon'}]"
sr:complex:4032,Shree Shiv Chhatrapati Sports Complex,
sr:complex:5520,O2 Arena,
sr:complex:5526,Ostravar Arena,"[{'id': 'sr:venue:13912', 'name': 'Centre Court', 'city_name': 'Ostrava', 'country_name': 'Czechia', 'country_code': 'CZE', 'timezone': 'Europe/Prague'}, {'id': 'sr:venue:13914', 'name': 'Court 3', 'city_name': 'Ostrava', 'country_name': 'Czechia', 'country_code': 'CZE', 'timezone': 'Europe/Prague'}, {'id': 'sr:venue:13916', 'name': 'Court 6', 'city_name': 'Ostrava', 'country_name': 'Czechia', 'country_code': 'CZE', 'timezone': 'Europe/Prague'}, {'id': 'sr:venue:13942', 'name': 'Court 4', 'city_name': 'Ostrava', 'country_name': 'Czechia', 'country_code': 'CZE', 'timezone': 'Europe/Prague'}, {'id': 'sr:venue:55221', 'name': 'Court 1', 'capacity': 1, 'city_name': 'Ostrava', 'country_name': 'Czechia', 'country_code': 'CZE', 'timezone': 'Europe/Prague'}, {'id': 'sr:venue:55223', 'name': 'Court 2', 'capacity': 1, 'city_name': 'Ostrava', 'country_name': 'Czechia', 'country_code': 'CZE', 'timezone': 'Europe/Prague'}]"
sr:complex:6310,Varazdin Arena,"[{'id': 'sr:venue:77271', 'name': 'Table 1', 'city_name': 'Varazdin', 'country_name': 'Croatia', 'country_code': 'HRV', 'timezone': 'Europe/Zagreb'}, {'id': 'sr:venue:77273', 'name': 'Table 2', 'city_name': 'Varazdin', 'country_name': 'Croatia', 'country_code': 'HRV', 'timezone': 'Europe/Zagreb'}, {'id': 'sr:venue:77275', 'name': 'Table 3', 'city_name': 'Varazdin', 'country_name': 'Croatia', 'country_code': 'HRV', 'timezone': 'Europe/Zagreb'}, {'id': 'sr:venue:77277', 'name': 'Table 4', 'city_name': 'Varazdin', 'country_name': 'Croatia', 'country_code': 'HRV', 'timezone': 'Europe/Zagreb'}, {'id': 'sr:venue:77279', 'name': 'Table 5', 'city_name': 'Varazdin', 'country_name': 'Croatia', 'country_code': 'HRV', 'timezone': 'Europe/Zagreb'}, {'id': 'sr:venue:77281', 'name': 'Table 6', 'city_name': 'Varazdin', 'country_name': 'Croatia', 'country_code': 'HRV', 'timezone': 'Europe/Zagreb'}, {'id': 'sr:venue:77283', 'name': 'Table 7', 'city_name': 'Varazdin', 'country_name': 'Croatia', 'country_code': 'HRV', 'timezone': 'Europe/Zagreb'}, {'id': 'sr:venue:77285', 'name': 'Table 8', 'city_name': 'Varazdin', 'country_name': 'Croatia', 'country_code': 'HRV', 'timezone': 'Europe/Zagreb'}]"
sr:complex:6484,Arena Montpellier,"[{'id': 'sr:venue:2146', 'name': 'Court 1', 'city_name': 'Montpellier', 'country_name': 'France', 'country_code': 'FRA', 'timezone': 'Europe/Paris'}, {'id': 'sr:venue:19477', 'name': 'Court Patrice Dominguez', 'city_name': 'Montpellier', 'country_name': 'France', 'country_code': 'FRA', 'timezone': 'Europe/Paris'}, {'id': 'sr:venue:30567', 'name': 'Court Central', 'city_name': 'Montpellier', 'country_name': 'France', 'country_code': 'FRA', 'timezone': 'Europe/Paris'}, {'id': 'sr:venue:30569', 'name': 'Court 2', 'city_name': 'Montpellier', 'country_name': 'France', 'country_code': 'FRA', 'timezone': 'Europe/Paris'}, {'id': 'sr:venue:39934', 'name': 'Court 3', 'city_name': 'Montpellier', 'country_name': 'France', 'country_code': 'FRA', 'timezone': 'Europe/Paris'}]"
sr:complex:6736,Arenes de Metz,
